FileID,Emotion
145,hap
146,hap
147,hap
148,hap
150,hap
152,hap
153,ang
154,hap
155,hap
157,fea
158,ang
159,hap
160,hap
166,hap
168,hap
170,hap
172,ang
174,ang
175,sur
176,sur
178,sur
179,ang
182,sur
185,sur
186,sur
188,ang
189,sur
190,sur
191,sur
193,sur
197,sur
199,sur
203,neu
204,neu
205,neu
207,neu
209,neu
211,neu
213,neu
215,neu
220,neu
224,neu
225,neu
227,neu
228,neu
229,neu
230,neu
232,neu
238,fea
239,fea
244,sur
246,fea
248,ang
249,fea
250,fea
252,ang
254,fea
255,sad
256,fea
258,fea
259,ang
260,fea
263,fea
264,fea
265,dis
266,dis
271,dis
272,dis
273,ang
274,fea
275,dis
276,ang
278,ang
281,dis
282,dis
283,dis
287,ang
291,ang
294,ang
295,ang
296,ang
302,ang
303,ang
305,ang
308,ang
309,ang
310,ang
311,ang
312,ang
315,ang
317,ang
319,ang
320,ang
322,ang
323,ang
326,ang
327,sad
328,neu
329,sad
330,sad
331,sad
339,sad
341,sad
343,sad
345,sad
346,sad
348,hap
349,sad
350,sad
355,sad
356,neu
357,neu
1676,hap
1679,hap
1682,hap
1683,hap
1685,hap
1686,hap
1688,sur
1691,sur
1692,ang
1694,sur
1695,sur
1696,sur
1698,neu
1699,neu
1700,neu
1701,neu
1705,neu
1707,neu
1709,fea
1710,fea
1711,fea
1714,ang
1717,fea
1718,fea
1720,ang
1721,sur
1722,dis
1725,dis
1726,sur
1730,dis
1731,ang
1732,ang
1737,ang
1738,ang
1739,ang
1741,ang
1743,sad
1744,sad
1746,sad
1747,neu
1749,neu
1751,sad
1978,hap
1981,hap
1982,sur
1983,hap
1984,ang
1985,hap
1986,hap
1987,hap
1992,ang
1994,sur
1997,sur
1998,sur
2000,neu
2001,sur
2003,sur
2005,sur
2006,sur
2008,sur
2010,neu
2011,neu
2013,neu
2014,ang
2015,neu
2016,neu
2021,neu
2022,neu
2026,neu
2028,fea
2033,fea
2035,sur
2036,fea
2037,fea
2038,fea
2040,fea
2041,fea
2044,ang
2048,dis
2049,dis
2052,ang
2053,ang
2054,dis
2055,dis
2057,dis
2059,dis
2061,ang
2062,ang
2063,ang
2065,ang
2068,ang
2070,ang
2071,ang
2072,ang
2073,ang
2077,sad
2079,ang
2081,sad
2082,ang
2084,sad
2085,sad
2086,sad
2092,sad
2093,fea
2199,hap
2200,hap
2202,hap
2203,hap
2206,hap
2208,hap
2210,hap
2211,hap
2213,hap
2217,sur
2218,sur
2219,sur
2221,fea
2222,sur
2224,sur
2226,sur
2228,sur
2229,sur
2233,neu
2234,neu
2235,neu
2238,neu
2239,neu
2244,neu
2245,neu
2248,neu
2249,neu
2252,fea
2254,sad
2256,fea
2257,fea
2258,fea
2259,fea
2262,ang
2264,sad
2266,fea
2267,dis
2268,dis
2269,dis
2270,dis
2272,dis
2274,dis
2275,dis
2279,dis
2280,dis
2284,ang
2285,ang
2286,ang
2290,ang
2291,ang
2292,sur
2295,ang
2296,ang
2300,neu
2301,sad
2302,sad
2305,sad
2307,sad
2308,sad
2309,sad
2312,sad
2313,sad
2315,sad
2438,dis
2439,hap
2442,hap
2444,hap
2446,hap
2447,hap
2448,fea
2449,hap
2450,hap
2455,sur
2456,dis
2458,sur
2459,sur
2461,sur
2462,sur
2465,sur
2467,sur
2468,sur
2470,neu
2471,neu
2474,neu
2476,neu
2477,neu
2478,neu
2479,neu
2480,neu
2483,neu
2488,fea
2489,fea
2490,fea
2491,neu
2492,fea
2495,fea
2499,fea
2501,fea
2503,neu
2504,dis
2505,dis
2507,dis
2510,dis
2511,dis
2512,dis
2513,dis
2518,dis
2519,dis
2521,ang
2523,ang
2524,ang
2525,ang
2529,ang
2531,ang
2533,ang
2534,ang
2537,ang
2538,sad
2540,neu
2542,sad
2544,sad
2545,sad
2546,sad
2547,sad
2552,sad
2554,sad
6219,hap
6220,hap
6221,hap
6222,hap
6226,dis
6228,hap
6232,hap
6233,dis
6234,sur
6236,sur
6238,ang
6240,sur
6242,sur
6245,sur
6246,ang
6247,sur
6250,neu
6255,neu
6256,neu
6258,neu
6260,neu
6261,neu
6262,neu
6263,neu
6266,fea
6267,fea
6268,fea
6269,fea
6271,fea
6274,fea
6275,fea
6277,fea
6280,dis
6281,dis
6283,dis
6284,dis
6285,dis
6286,dis
6288,ang
6289,dis
6295,ang
6297,ang
6299,ang
6300,ang
6302,ang
6303,ang
6304,ang
6305,ang
6310,dis
6311,sad
6313,hap
6315,sad
6316,sad
6318,sad
6321,neu
6322,sad
8320,hap
8322,hap
8325,hap
8326,hap
8327,hap
8329,hap
8330,hap
8331,hap
8335,sur
8336,fea
8337,sur
8339,dis
8343,sur
8344,sur
8345,sur
8347,sur
8350,neu
8352,sur
8353,neu
8354,neu
8356,neu
8357,neu
8363,neu
8365,hap
8368,fea
8369,fea
8371,fea
8372,fea
8373,fea
8375,fea
8379,fea
8380,fea
8382,dis
8384,dis
8385,dis
8388,dis
8390,dis
8391,dis
8392,dis
8394,dis
8396,ang
8397,hap
8398,ang
8400,ang
8402,ang
8406,ang
8407,ang
8408,hap
8411,sad
8414,sad
8418,sad
8419,sad
8421,sad
8422,sad
8423,sad
8425,sad
9721,hap
9722,hap
9725,hap
9726,hap
9727,hap
9730,hap
9732,hap
9734,hap
9737,sur
9740,sur
9742,sur
9745,sur
9746,sur
9748,sur
9749,sur
9750,sur
9751,neu
9754,neu
9755,neu
9756,neu
9757,neu
9760,neu
9761,neu
9763,neu
9766,fea
9767,fea
9768,fea
9770,fea
9772,fea
9774,fea
9776,fea
9779,fea
9781,dis
9784,dis
9785,dis
9786,dis
9788,dis
9790,dis
9792,dis
9794,dis
9796,ang
9797,ang
9800,ang
9801,ang
9802,ang
9803,ang
9807,ang
9810,ang
9814,sad
9815,sad
9816,fea
9817,sad
9819,sad
9822,sad
9823,sad
9824,sad
10036,hap
10038,hap
10039,hap
10041,hap
10044,hap
10045,hap
10047,hap
10050,hap
10051,sur
10055,sur
10056,sur
10057,sur
10058,sur
10060,sur
10064,sur
10065,sur
10067,neu
10068,neu
10069,neu
10070,neu
10071,neu
10072,neu
10075,neu
10078,neu
10082,fea
10083,fea
10084,fea
10087,fea
10089,fea
10092,fea
10094,fea
10095,fea
10097,dis
10098,dis
10099,dis
10102,dis
10104,dis
10107,dis
10109,dis
10110,dis
10111,ang
10113,ang
10114,ang
10115,ang
10121,ang
10122,ang
10124,ang
10125,ang
10128,sad
10130,sad
10132,sad
10133,sad
10134,sad
10135,sad
10139,sad
10140,sad
10141,hap
10142,hap
10144,hap
10146,hap
10147,hap
10151,hap
10152,hap
10155,hap
10156,sur
10158,fea
10162,sur
10165,sur
10166,sur
10167,sur
10169,sur
10170,sur
10171,neu
10174,neu
10175,neu
10177,neu
10179,neu
10181,neu
10184,neu
10185,neu
10187,fea
10188,fea
10189,fea
10191,fea
10194,fea
10198,fea
10199,fea
10200,fea
10201,dis
10202,dis
10203,dis
10207,dis
10209,dis
10210,dis
10213,dis
10214,dis
10217,ang
10218,ang
10219,ang
10220,ang
10221,ang
10226,ang
10227,ang
10230,ang
10231,sad
10232,sad
10233,sad
10237,sad
10238,sad
10239,sad
10240,sad
10241,sad
11170,neu
11171,neu
11172,fea
11174,neu
11175,neu
11178,sad
11180,neu
11182,neu
11183,sur
11184,sad
11186,neu
11187,neu
11189,sad
11190,neu
11192,neu
11195,neu
11199,neu
11202,neu
11204,neu
11206,neu
11208,neu
11211,neu
11214,neu
11216,neu
11218,neu
11220,neu
11221,sur
11222,neu
11223,neu
11224,sad
11225,neu
11230,sad
11232,neu
11235,ang
11236,neu
11238,sad
11240,neu
11242,neu
11245,sad
11256,neu
11257,sad
11258,neu
11264,neu
11269,sad
11271,neu
11273,sad
11274,sad
11275,hap
11276,ang
11278,neu
11279,neu
11280,neu
11281,neu
11282,sad
11289,neu
11290,neu
11291,neu
11292,neu
11293,neu
11295,neu
11297,neu
11298,sad
11302,neu
11303,sad
11304,neu
11305,neu
11306,neu
11308,hap
11309,sur
11310,ang
11314,neu
11318,neu
11319,neu
11320,neu
11321,neu
11323,ang
11324,neu
11327,sad
11328,neu
11329,neu
11330,sur
11331,hap
11335,neu
11338,neu
11340,neu
11342,neu
11344,neu
11347,neu
11348,neu
11349,neu
11350,neu
11357,neu
11359,ang
11360,neu
11363,neu
11364,neu
11366,ang
11370,neu
11374,neu
11375,ang
11376,sad
11378,neu
11380,ang
11386,sad
11390,neu
11391,neu
11392,neu
11394,ang
11395,sur
11397,sad
11398,neu
11399,neu
11401,neu
11402,neu
11403,sad
11404,hap
11405,neu
11406,neu
11409,neu
11413,neu
11415,neu
11416,neu
11421,sur
11422,neu
11424,sad
11428,neu
11429,neu
11430,hap
11432,sad
11433,neu
11434,neu
11437,neu
11438,neu
11440,neu
11441,neu
11443,neu
11446,neu
11447,hap
11448,neu
11449,fea
11451,neu
11452,neu
11453,ang
11455,neu
11458,neu
11459,neu
11460,neu
11461,neu
11463,neu
11465,neu
